,index,GradCAM_mean,GradATT_mean,ATMAN_mean,chefer_mean,rand_mean,GradCAM_mask,GradATT_mask,ATMAN_mask,chefer_mask,rand_mask,GradCAM_std,GradATT_std,ATMAN_std,chefer_std,rand_std
195,195,1.728764772,2.295507669,2.153759956,1.788211823,2.361871719,0.5859375,0.679969549,0.501953125,0.54620719,0.493797511,0.327971578,0.436987996,1.377053499,0.462797254,1.23323679
196,196,1.764268279,3.566677094,2.871540308,1.569231272,2.011114597,0.399902344,0.351276875,0.594238281,0.364240825,0.501823187,2.054298162,3.279281855,1.847545981,1.038221836,1.949722648
197,197,2.442490578,1.88397336,3.067655802,1.870979667,1.828763247,0.536132813,0.502210319,0.499755859,0.549579382,0.498269856,2.159268141,2.403207779,1.655456424,2.304434538,2.43928957
198,198,0.128571153,1.830722213,3.129301548,0.49642235,0.962769985,0.443359375,0.361206502,0.427001953,0.418848366,0.500452518,0.172458023,1.834748387,3.031008005,0.661524057,1.548471808
199,199,1.96080327,0.154503107,5.473425388,0.067678377,0.301541179,0.400146484,0.4036116,0.496582031,0.444267869,0.499416351,4.070018768,0.100706451,4.920979023,0.03475355,0.517468035
200,200,1.264849067,1.917459488,1.574148536,2.025715351,3.206919909,0.470703125,0.440250099,0.3515625,0.527593374,0.504886687,1.224861503,2.408124924,1.176509857,2.975470543,2.34145546
201,201,0.573113859,0.377711266,0.287339211,0.339428812,0.197566435,0.616699219,0.666361332,0.458251953,0.561418712,0.497691125,0.249674588,0.338650614,0.130211338,0.337716281,0.144896373
202,202,4.41463232,3.202385664,5.884068966,1.454707503,0.270955056,0.356689453,0.32193175,0.430664063,0.272069782,0.496810645,3.381538391,2.700012445,2.016103983,2.7487607,0.268022925
203,203,1.502280593,1.104804635,0.77636224,0.611893594,0.547612846,0.51171875,0.455404043,0.29296875,0.38382566,0.496345043,1.345585465,1.195156813,0.468390942,0.312956244,0.55907017
204,204,2.339160204,4.172138214,0.642996669,2.126877069,5.365609169,0.288818359,0.348785818,0.510742188,0.297920823,0.504340112,1.524896622,2.029280424,0.902674735,1.516782761,0.958277285
205,205,1.019278049,1.324248195,1.117586017,1.092474461,1.635590792,0.361328125,0.413410395,0.462158203,0.405309737,0.501116335,1.1890347,0.568235219,0.41480732,0.333403677,1.042061329
206,206,1.526349425,4.209895611,3.008266687,0.091114201,1.094242334,0.453857422,0.448991627,0.571777344,0.410229713,0.506463885,1.639201283,3.406413317,2.787317753,0.116463177,1.189965725
207,207,1.264896274,2.373212814,1.509907603,2.004067898,3.340771437,0.293457031,0.308166206,0.496337891,0.345275342,0.503465474,1.383302927,2.128020048,1.236666322,2.130941868,3.217915058
208,208,2.44047308,3.450864553,1.549751878,3.737089872,2.645500898,0.344726563,0.332364827,0.593261719,0.368160963,0.499838501,1.017562985,0.856649101,1.52747643,2.247660637,1.048835278
209,209,2.32440114,2.330568075,4.273480892,2.128759146,2.078951359,0.389892578,0.328710049,0.540039063,0.3508313,0.503629625,0.986690044,1.146555066,2.578030348,0.788347483,0.606566012
210,210,0.719290912,2.409847498,0.879365265,1.335921884,0.500507474,0.299072266,0.300984204,0.440673828,0.326338828,0.50106144,0.639458954,0.515593886,1.388648391,1.120451689,0.275591016
211,211,1.151085734,1.355467439,3.737789631,2.848479986,2.711605787,0.594726563,0.465565026,0.611816406,0.419551253,0.503077745,1.399912119,1.02688539,1.490990281,2.045917034,0.738963604
212,212,2.433918476,1.839399576,3.779073477,1.883988261,1.684247017,0.319091797,0.306938559,0.704101563,0.339079499,0.508906305,1.952048779,1.219503403,1.546445489,1.137135506,1.289482594
213,213,0.491062164,0.946764648,0.676922619,0.919079423,2.792310238,0.455078125,0.460244924,0.515625,0.398669809,0.504037917,0.403311402,1.251936316,0.767851949,1.388424397,1.609803796
214,214,2.175124168,1.591920137,3.229968309,1.518460512,1.683602929,0.564453125,0.511732042,0.582519531,0.509482682,0.501386702,1.455960989,0.384940773,1.319776297,0.549049795,0.947303116
215,215,2.917690992,4.800802231,3.069916487,3.218519926,3.167868376,0.301269531,0.210052595,0.665039063,0.292411208,0.505359054,1.878395796,1.181281447,1.884748697,2.098787308,1.738850474
216,216,6.104407787,5.229930401,3.476457357,4.991832733,3.244691849,0.26171875,0.232369393,0.739746094,0.317655087,0.497544229,1.663885951,1.007466316,1.057549477,0.288194537,1.521905899
217,217,0.436094612,0.715652823,1.775653839,0.949729621,1.506846666,0.420410156,0.319752723,0.681640625,0.386496425,0.492930502,0.198945895,0.460086644,0.464351445,0.587982655,1.177365541
218,218,0.478448212,0.201560497,0.808718204,0.225219443,0.383287847,0.541015625,0.501808167,0.462646484,0.529402316,0.500751138,0.583238959,0.096664935,1.17190969,0.234425768,0.35556969
219,219,0.203150511,0.20211862,2.755847216,0.368253201,1.181675315,0.281494141,0.314219534,0.716308594,0.391983688,0.504523933,0.211880937,0.217911392,1.701845407,0.634961545,1.858084917
220,220,1.224184632,0.329483449,2.486326694,0.326781601,1.513816118,0.234863281,0.280851632,0.487548828,0.347972274,0.502282321,1.719170451,0.417764813,1.580792904,0.311683327,1.221803904
221,221,7.431557655,7.880420208,6.332511425,5.826839447,5.89390707,0.385009766,0.328201532,0.526855469,0.403802484,0.507277548,0.172226861,0.720291436,3.724624634,3.738042355,3.30577445
222,222,1.871768355,2.328420401,4.913669586,1.978148818,3.824584723,0.48828125,0.487306982,0.498291016,0.456264853,0.509041429,2.019098997,0.963505089,1.697674751,3.859868288,2.638281822
223,223,0.613781691,0.857827008,3.634137869,1.423650146,2.049860239,0.416992188,0.389641076,0.273681641,0.451474577,0.498189777,0.893770993,1.717387199,2.627931356,1.930973768,2.443185091
224,224,3.12351656,3.233730316,1.392304301,1.395133853,2.510279655,0.374511719,0.338408321,0.421630859,0.404497713,0.50604856,0.813774228,0.910518408,0.377405763,0.463958025,0.500018597
225,225,1.83075583,3.346544266,0.188784808,2.927109241,0.536289155,0.614257813,0.487648666,0.426025391,0.528578937,0.490929127,2.882907391,3.380951405,0.182631746,2.226229906,0.515012562
226,226,1.651246309,3.062556028,2.276046991,2.245559692,2.456545591,0.488037109,0.499265015,0.462890625,0.498170972,0.494531304,0.357655674,1.096831083,1.01931262,1.683174968,0.969421327
227,227,4.130263805,3.422046661,4.657365322,1.998168945,2.379491091,0.296386719,0.300897866,0.535644531,0.282795101,0.50055331,1.987265706,2.127622843,3.146103621,2.077095032,1.604447842
228,228,4.866614819,0.10058254,4.131093502,3.978205919,2.607402086,0.540527344,0.515014887,0.461669922,0.40325439,0.509698391,4.436469078,0.20555155,3.991569996,3.369009256,3.469200611
229,229,3.796895742,4.82475853,2.592340946,3.966379166,1.376264811,0.513671875,0.437269449,0.493652344,0.533712149,0.501211941,2.036266804,2.457202435,2.902173281,1.936027884,1.860827684
230,230,4.109506607,5.61148119,4.855620384,2.97561121,4.356555939,0.239868164,0.206661716,0.484863281,0.263503402,0.496216476,1.605277658,1.840150952,1.618813872,3.282338858,2.240612268
231,231,0.623298347,0.38633132,0.452705771,0.491736025,0.526504815,0.431396484,0.440909863,0.541015625,0.496065259,0.49549368,0.333571374,0.174281329,0.089964733,0.332302302,0.245945022
232,232,0.210309178,0.430437326,0.258920461,0.304322302,0.426275879,0.438232422,0.379670411,0.291259766,0.428232253,0.496314615,0.249592409,0.448101074,0.185070798,0.253195047,0.335792303
233,233,0.457661927,2.756596804,3.665724277,0.310651183,0.805758119,0.552734375,0.570136666,0.49609375,0.455689847,0.504262328,0.944779873,2.047326088,3.192562103,0.386078954,1.475161433
